  Station Name,Line,Station Code,Line Code,
Vaishali,BLUE,1,B,
Kaushambi,BLUE,2,B,
Anand Vihar ISBT,BLUE,3,B,
Karkarduma,BLUE,4,B,
Preet Vihar,BLUE,5,B,
Nirman Vihar,BLUE,6,B,
Laxmi Nagar,BLUE,7,B,
Yamuna Bank,BLUE,8,B,
Indraprastha,BLUE,9,B,
Pragati Maidan,BLUE,10,B,
Mandi House,BLUE,11,B,
Barakhamba Road,BLUE,12,B,
Rajiv Chowk,BLUE,13,B,
RK Ashram Marg,BLUE,14,B,
Jhandewalan,BLUE,15,B,
Karol Bagh,BLUE,16,B,
Rajendra Palace,BLUE,17,B,
Patel Nagar,BLUE,18,B,
Shadi Pur,BLUE,19,B,
Kirti Nagar,BLUE,20,B,
Moti Nagar,BLUE,21,B,
Ramesh Nagar,BLUE,22,B,
Rajouri Garden,BLUE,23,B,
Tagore Garden,BLUE,24,B,
Subhash Nagar,BLUE,25,B,
Tilak Nagar,BLUE,26,B,
Janakpuri East,BLUE,27,B,
Janakpuri West,BLUE,28,B,
Uttam Nagar East,BLUE,29,B,
Uttam Nagar West,BLUE,30,B,
Nawada,BLUE,31,B,
Dwarka Mod,BLUE,32,B,
Dwarka ,BLUE,33,B,
Dwarka Sector 14,BLUE,34,B,
Dwarka Sector 13,BLUE,35,B,
Dwarka Sector12,BLUE,36,B,
Dwarka Sector 11,BLUE,37,B,
Dwarka Sector 10,BLUE,38,B,
Dwarka Sector 9,BLUE,39,B,
Dwarka Sector 8,BLUE,40,B,
Dwarka Sector 21,BLUE,41,B,
Noida Electronic City,BLUE,42,B,
Noida Sector 62,BLUE,43,B,
Noida Sector 59,BLUE,44,B,
Noida Sector 61,BLUE,45,B,
Noida Sector 52,BLUE,46,B,
Noida sector 34,BLUE,47,B,
Noida City Centre,BLUE,48,B,
Golf Course,BLUE,49,B,
Botanical Garden,BLUE,50,B,
Noida Sector 18,BLUE,51,B,
Noida Sector 16,BLUE,52,B,
Noida Sector 15,BLUE,53,B,
New Ashok Nagar,BLUE,54,B,
Mayur Vihar Extension,BLUE,55,B,
